$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
75,0.47393364928909953,142,LIVESTOCK,2.11,2.11,2.15,2.12,2.12,0.01,0.47,32,2082776,4436305.76,Main Board,AGRICULTURE,LIVESTOCK ,2022-01-25T00:00:00
76,0,12,LIVINGTRUST,1.14,1.14,,,1.14,,,0,,,Growth Board,FINANCIAL SERVICES,LIVINGTRUST [BLS],2022-01-25T00:00:00
77,0,148,MANSARD,2.36,2.36,2.36,2.35,2.36,0,-0.42,29,2449193,5767889.06,Main Board,FINANCIAL SERVICES,MANSARD ,2022-01-25T00:00:00
78,0,151,MAYBAKER,4.5,4.5,,,4.5,,,24,320028,1454815.07,Main Board,HEALTHCARE,MAYBAKER ,2022-01-25T00:00:00
79,-3.7037037037037037,87,MBENEFIT,0.27,0.27,0.28,0.26,0.26,-0.01,-3.7,22,3018314,818030.35,Main Board,FINANCIAL SERVICES,MBENEFIT ,2022-01-25T00:00:00
80,0,80,MCNICHOLS,0.77,0.77,,,0.77,,,1,250,192.5,Growth Board,CONSUMER GOODS,MCNICHOLS ,2022-01-25T00:00:00
81,0,1,MEDVIEWAIR,1.62,1.62,,,1.62,,,0,,,Main Board,SERVICES,MEDVIEWAIR [BMF],2022-01-25T00:00:00
82,0,109,MEYER,0.55,0.55,,,0.55,,,2,5500,3300,Main Board,INDUSTRIAL GOODS,MEYER ,2022-01-25T00:00:00
83,0,89,MORISON,1.99,1.99,,,1.99,,,1,2000,4100,Main Board,HEALTHCARE,MORISON ,2022-01-25T00:00:00
84,0,94,MRS,13.55,13.55,,,13.55,,,4,4187,53172.5,Main Board,OIL AND GAS,MRS ,2022-01-25T00:00:00
85,0,8,MTNN,190,190,190,190,190,0,,141,2313251,439675780.7,Premium Board,ICT,MTNN ,2022-01-25T00:00:00
86,0,81,MULTITREX,0.36,0.36,,,0.36,,,0,,,Main Board,CONSUMER GOODS,MULTITREX [DIP],2022-01-25T00:00:00
87,0,93,MULTIVERSE,0.2,0.2,,,0.2,,,2,5500,1100,Main Board,NATURAL RESOURCES,MULTIVERSE ,2022-01-25T00:00:00
88,0,95,NAHCO,4,4,,,4,,,38,607283,2427080.84,Main Board,SERVICES,NAHCO ,2022-01-25T00:00:00
89,0,83,NASCON,13.1,13.1,,,13.1,,,13,56539,744127.65,Main Board,CONSUMER GOODS,NASCON ,2022-01-25T00:00:00
90,0,114,NB,47.3,47.3,47.3,47.3,47.3,0,,42,6194861,293012436.25,Main Board,CONSUMER GOODS,NB ,2022-01-25T00:00:00
91,0,92,NCR,3,3,,,3,,,1,5000,15000,Main Board,ICT,NCR ,2022-01-25T00:00:00
92,-1.0416666666666667,90,NEIMETH,1.92,1.92,1.98,1.9,1.9,-0.02,-1.04,23,1538202,2947446.73,Main Board,HEALTHCARE,NEIMETH ,2022-01-25T00:00:00
93,0,88,NEM,3.5,3.5,,,3.5,,,9,86185,280472.05,Main Board,FINANCIAL SERVICES,NEM ,2022-01-25T00:00:00
94,0,86,NESF,552.2,552.2,,,552.2,,,0,,,Real Estate Investment Trust & Close End Fund,FINANCIAL SERVICES,NESF ,2022-01-25T00:00:00
